spin_number,bet_value,visible_symbols_after_stop,win_value,special_symbols_seen,feature_triggered,evidence_filename,notes
1,0.2,BELLS|GRAPES|CHERRIES (top faint); CHERRIES fire-line across middle; CHERRIES/LEMON lower,0.8,CHERRIES_LINE_FIRE,CHERRY_LINE_WIN,assets/screenshots/desktop/spin_001_after_stop.png,Fire-line payout animation active; some top symbols partially obscured.
2,0.2,ORANGES|SUPER_CHICKEN_COIN|PLUMS; ORANGES|CHERRIES|PLUMS; ORANGES|CHERRIES|BAR; WATERMELON|CHERRIES|BAR,0.8,"SUPER_CHICKEN_COIN,X3",CHICKEN_BOOST_MULTIPLIER,assets/screenshots/desktop/spin_002_after_stop.png,x3 banner and Super Chicken Coin visible.
3,0.2,ORANGES|CHICKEN_COIN|PLUMS; ORANGES|CHERRIES|PLUMS; ORANGES|CHERRIES|BAR; WATERMELON|CHERRIES|BAR,0,CHICKEN_COIN,NO,assets/screenshots/desktop/spin_003_after_stop.png,"Chicken coin shows 0 value, no payout."
4,0.2,WATERMELON|BELLS|CHERRIES; PLUMS|BELLS|CHERRIES; PLUMS|BELLS|WATERMELON; PLUMS|BELLS|WATERMELON,0,NONE,NO,assets/screenshots/desktop/spin_004_after_stop.png,Grid clear and readable.
5,0.2,PLUMS|LEMONS|PLUMS; BELLS|CHERRIES|PLUMS; BELLS|CHERRIES|PLUMS,0,NONE,NO,assets/screenshots/desktop/spin_005_after_stop.png,No highlighted lines.
6,0.2,WATERMELON|WATERMELON|GRAPES; WATERMELON|ORANGES|GRAPES; WATERMELON|ORANGES|GRAPES,0,NONE,NO,assets/screenshots/desktop/spin_006_after_stop.png,No feature indicators.
7,0.2,PLUMS|WATERMELON|CHERRIES; WATERMELON|ORANGES|LEMON; BAR|ORANGES|LEMON; CHERRIES|ORANGES|LEMON,0,NONE,NO,assets/screenshots/desktop/spin_007_after_stop.png,No line highlight.
8,0.2,GRAPES|BELLS|PLUMS; PLUMS|BELLS|ORANGES; PLUMS|BELLS|ORANGES; CHERRIES|LEMON|ORANGES,0,NONE,NO,assets/screenshots/desktop/spin_008_after_stop.png,No feature banner.
9,0.2,ORANGES|BELLS|ORANGES; ORANGES|ORANGES|CHERRIES; BELLS|ORANGES|CHERRIES; COIN_1X visible lower-left,0,COIN_1X,NO,assets/screenshots/desktop/spin_009_after_stop.png,1x coin visible but no payout registered.
10,0.2,PLUMS|CHERRIES|PLUMS; PLUMS|CHERRIES|PLUMS; BAR|CHERRIES|PLUMS; BAR|CHERRIES|PLUMS,0,NONE,NO,assets/screenshots/desktop/spin_010_after_stop.png,No line or feature animation.
11,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_011_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
12,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_012_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
13,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_013_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
14,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_014_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
15,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_015_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
16,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_016_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
17,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_017_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
18,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_018_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
19,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_019_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
20,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_020_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
21,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_021_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
22,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_022_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
23,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_023_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
24,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_024_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
25,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_025_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
26,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_026_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
27,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_027_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
28,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_028_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
29,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_029_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
30,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_030_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
31,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_031_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
32,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_032_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
33,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_033_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
34,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_034_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
35,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_035_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
36,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_036_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
37,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_037_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
38,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_038_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
39,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_039_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
40,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_040_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
41,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_041_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
42,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_042_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
43,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_043_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
44,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_044_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
45,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_045_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
46,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_046_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
47,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_047_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
48,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_048_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
49,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_049_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
50,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_050_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
51,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_051_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
52,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_052_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
53,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_053_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
54,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_054_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
55,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_055_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
56,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_056_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
57,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_057_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
58,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_058_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
59,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_059_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
60,0.2,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNREADABLE_FROM_SCREENSHOT,UNKNOWN,assets/screenshots/desktop/spin_060_after_stop.png,After-stop screenshot exists; rapid frame timing makes symbol/win text unreadable in this capture.
